date,open,high,close
2015-12-18,104.0264,104.609,101.2755
2015-12-21,102.4695,102.5554,102.5172
2015-12-22,102.5841,102.8898,102.4217
2015-12-23,102.4599,103.9691,103.7398
2015-12-24,104.1124,104.1124,103.1858
2015-12-28,102.7656,102.8611,102.0301
2015-12-29,102.1638,104.5231,103.864
2015-12-30,103.7112,103.8258,102.5077
2015-12-31,102.2116,102.2307,100.5401
2016-01-04,98.0089,100.6432,100.626
2016-01-05,101.0081,101.1036,98.1044
2016-01-06,96.0508,97.7796,96.1845
2016-01-07,94.2551,95.6401,92.1251
2016-01-08,94.1309,94.6658,92.6122
2016-01-11,94.5321,94.6181,94.1118
2016-01-12,96.0413,96.175,95.4777
2016-01-13,95.8216,96.6526,93.023
2016-01-14,93.5674,95.9744,95.0574
2016-01-15,91.8863,93.3286,92.7746
2016-01-19,93.9972,94.2265,92.3257
2016-01-20,90.8356,93.7868,92.4499
2016-01-21,92.7078,93.491,91.9818
2016-01-22,94.2074,96.9105,96.8722
2016-01-25,96.9678,96.9773,94.981
2016-01-26,95.4491,96.3565,95.5064
2016-01-27,91.7335,92.296,89.231
2016-01-28,89.5844,90.2816,89.8709
2016-01-29,90.5395,92.9752,92.9752
2016-02-01,92.1442,92.3734,92.106
2016-02-02,91.1413,91.7335,90.2434
2016-02-03,90.7401,92.4976,92.0296
2016-02-04,92.0584,93.4701,92.7691
2016-02-05,92.6922,93.0764,90.2914
2016-02-08,89.4367,91.9047,91.2421
2016-02-09,90.5507,92.1352,91.2229
2016-02-10,92.116,92.529,90.5315
2016-02-11,90.0705,90.9636,89.9841
2016-02-12,90.4546,90.7523,90.2626
2016-02-16,91.2517,93.0091,92.8075
2016-02-17,92.8363,94.3152,94.2288
2016-02-18,94.9202,94.9682,92.4425
2016-02-19,92.1928,92.9226,92.2313
2016-02-22,92.4906,93.0572,93.0379
2016-02-23,92.577,92.673,90.9348
2016-02-24,90.253,92.5578,92.2889
2016-02-25,92.2409,92.9227,92.9227
2016-02-26,93.3453,94.1363,93.0668
2016-02-29,93.0187,94.3344,92.8555
2016-03-01,93.7774,96.7737,96.5432
2016-03-02,96.524,96.8889,96.7545
2016-03-03,96.5912,97.6763,97.4747
2016-03-04,98.3102,99.6355,98.9248
2016-03-07,98.3294,98.752,97.8301
2016-03-08,96.7833,97.7244,97.0234
2016-03-09,97.2923,97.5516,97.1098
2016-03-10,97.3883,98.1854,97.1578
2016-03-11,98.1854,98.2238,98.2046
2016-03-14,97.8685,98.8288,98.4543
2016-03-15,99.8372,101.0088,100.4326
2016-03-16,100.4614,102.094,101.7675
2016-03-17,101.3353,102.2476,101.6042
2016-03-18,102.1228,102.2764,101.7194
2016-03-21,101.729,103.3808,101.7098
2016-03-22,101.076,103.0351,102.4877
2016-03-23,102.2572,102.8238,101.9211
2016-03-24,101.2873,102.0364,101.4794
2016-03-28,101.7963,101.9787,101.0184
2016-03-29,100.7303,103.5153,103.4096
2016-03-30,104.3412,106.041,105.2151
2016-03-31,105.3687,105.5416,104.6677
2016-04-01,104.466,105.6376,105.628
2016-04-04,106.041,107.7408,106.7132
2016-04-05,105.1671,106.3387,105.4552
2016-04-06,105.8585,106.5788,106.5596
2016-04-07,105.5896,106.041,104.2355
2016-04-08,104.5909,105.4168,104.3508
2016-04-11,104.6485,106.2234,104.6965
2016-04-12,105.0038,106.1178,106.0602
2016-04-13,106.4059,107.8848,107.5967
2016-04-14,107.1934,107.9329,107.6544
2016-04-15,107.664,107.8464,105.4936
2016-04-18,104.5717,104.6293,103.2176
2016-04-19,103.6017,103.717,102.6702
2016-04-20,102.4109,103.8034,102.8815
2016-04-21,102.6894,102.6894,101.7675
2016-04-22,100.8455,102.2572,101.489
2016-04-25,100.8359,101.4602,100.9128
2016-04-26,99.7892,101.124,100.2117
2016-04-27,92.1928,94.7954,93.9407
2016-04-28,93.739,93.9983,91.0692
2016-04-29,90.2626,90.9636,90.0225
2016-05-02,90.2386,90.349,89.9264
2016-05-03,90.4642,91.9432,91.4054
2016-05-04,91.4246,92.0968,90.4546
2016-05-05,90.8218,90.8895,90.0875
2016-05-06,90.2131,90.2904,89.5851
2016-05-09,89.8556,90.5996,89.6527
2016-05-10,90.1745,90.4064,90.2614
2016-05-11,90.3194,90.4064,89.3822
2016-05-12,89.5851,89.6431,87.2856
2016-05-13,86.9571,88.5706,87.4595
2016-05-16,89.2663,91.1986,90.7059
2016-05-17,91.3532,91.4982,90.3291
2016-05-18,90.9764,91.9909,91.3629
2016-05-19,91.4402,91.4402,91.0151
2016-05-20,91.4402,92.2035,92.0006
2016-05-23,92.6286,93.904,93.1697
2016-05-24,93.9329,94.7735,94.59
2016-05-25,95.3339,96.3677,96.2518
2016-05-26,96.3098,97.3243,97.0151
2016-05-27,96.0779,97.0731,96.9571
2016-05-31,96.2325,97.0054,96.4837
2016-06-01,95.6721,96.1745,95.131
2016-06-02,94.3001,94.532,94.416
2016-06-03,94.4837,94.9474,94.6093
2016-06-06,94.6769,98.4451,95.2953
2016-06-07,95.8943,96.4934,95.6818
2016-06-08,95.6721,96.1938,95.5948
2016-06-09,95.1697,96.6093,96.2808
2016-06-10,95.1987,95.9868,95.4885
2016-06-13,95.3532,95.7687,94.0489
2016-06-14,94.0296,95.1455,94.1648
2016-06-15,94.5127,95.0827,93.8557
2016-06-16,93.189,94.445,94.2518
2016-06-17,93.3532,93.3822,92.1068
2016-06-20,92.7542,93.3049,91.8846
2016-06-21,91.73,93.0924,92.6672
2016-06-22,92.9957,93.6141,92.3194
2016-06-23,92.6962,93.0344,92.8508
2016-06-24,89.7687,91.4547,90.2421
2016-06-27,89.8556,89.9039,88.9281
2016-06-28,89.759,90.4933,90.4257
2016-06-29,90.7928,91.3532,91.2083
2016-06-30,91.2469,92.532,92.3677
2016-07-01,92.2614,93.2035,92.6479
2016-07-05,92.1648,92.1745,91.7783
2016-07-06,91.4015,92.4257,92.3001
2016-07-07,92.4643,93.2373,92.6962
2016-07-08,93.2276,93.6141,93.4112
2016-07-11,93.4788,94.3484,93.7011
2016-07-12,93.8846,94.3967,94.1262
2016-07-13,94.1165,94.3677,93.5948
2016-07-14,94.0972,95.6431,95.4499
2016-07-15,95.5755,95.9426,95.4402
2016-07-18,95.3629,96.7446,96.4547
2016-07-19,96.1938,96.619,96.4934
2016-07-20,96.619,97.0634,96.5803
2016-07-21,96.4547,97.5851,96.0682
2016-07-22,95.904,95.9426,95.3243
2016-07-25,94.9281,95.4982,94.0489
2016-07-26,93.5465,94.6576,93.4015
2016-07-27,100.7398,100.8219,99.4692
2016-07-28,99.3533,100.9185,100.8122
2016-07-29,100.6673,101.0151,100.6866
2016-08-01,100.8799,102.561,102.4644
2016-08-02,102.4644,102.4837,100.9475
2016-08-03,101.2663,102.2615,102.2132
2016-08-04,102.5629,102.9709,102.8446
2016-08-05,103.2332,104.5737,104.4086
2016-08-08,104.4475,105.2732,105.2732
2016-08-09,105.1372,105.8269,105.7006
2016-08-10,105.6035,105.788,104.9137
2016-08-11,105.4189,105.8172,104.8457
2016-08-12,104.7,105.3412,105.0886
2016-08-15,105.0497,106.4097,106.3515
2016-08-16,106.4972,107.08,106.2543
2016-08-17,105.9823,106.2446,106.0989
2016-08-18,106.1086,106.468,105.9629
2016-08-19,105.6617,106.5555,106.2349
2016-08-22,105.7492,105.9823,105.4092
2016-08-23,105.4869,106.196,105.7395
2016-08-24,105.4626,105.6423,104.9429
2016-08-25,104.3212,104.7972,104.496
2016-08-26,104.3406,104.8652,103.884
2016-08-29,103.5732,104.3697,103.7675
2016-08-30,102.7766,103.4566,102.9709
2016-08-31,102.6406,103.5245,103.068
2016-09-01,103.1069,103.748,103.68
2016-09-02,104.6223,104.9137,104.6515
2016-09-06,104.8166,105.2052,104.6223
2016-09-07,104.7486,105.652,105.2635
2016-09-08,104.1852,104.2046,102.5046
2016-09-09,101.6498,102.6989,100.1829
2016-09-12,99.7166,102.6989,102.4269
2016-09-13,104.4377,105.6812,104.8652
2016-09-14,105.6229,109.8,108.576
2016-09-15,110.6063,112.4229,112.2674
2016-09-16,111.8303,112.8114,111.636
2016-09-19,111.8983,112.86,110.3343
2016-09-20,109.8194,110.8589,110.3246
2016-09-21,110.5966,110.7316,110.3051
2016-09-22,111.0823,111.6554,111.3446
2016-09-23,111.1503,111.5097,109.4892
2016-09-26,108.4497,110.1497,109.6543
2016-09-27,109.7709,109.9457,109.8583
2016-09-28,110.4411,111.364,110.6937
2016-09-29,109.9263,110.548,108.9743
2016-09-30,109.2463,110.1303,109.8194
2016-10-03,109.4892,109.8194,109.3046
2016-10-04,109.8291,111.0434,109.7709
2016-10-05,110.1594,110.412,109.8194
2016-10-06,110.4509,111.0726,110.6354
2016-10-07,111.0434,111.2863,110.8006
2016-10-10,111.7331,113.4137,112.7337
2016-10-11,114.3366,115.2983,112.9766
2016-10-12,113.9966,114.6086,113.9868
2016-10-13,113.4526,114.084,113.6371
2016-10-14,114.5114,114.7931,114.2686
2016-10-17,113.9771,114.4726,114.1908
2016-10-18,114.8028,114.832,114.1131
2016-10-19,113.8994,114.3948,113.7731
2016-10-20,113.5206,114.0257,113.7148
2016-10-21,113.472,113.5691,113.268
2016-10-24,113.7537,114.3754,114.288
2016-10-25,114.5794,114.9777,114.8708
2016-10-26,111.0434,112.3937,112.2869
2016-10-27,112.0926,112.5491,111.2086
2016-10-28,110.616,111.9177,110.4703
2016-10-31,110.4023,110.9657,110.2954
2016-11-01,110.2177,110.5189,108.304
2016-11-02,108.2166,109.1394,108.4012
2016-11-03,108.3621,108.8308,107.2392
2016-11-04,105.9699,107.6493,106.2726
2016-11-07,107.4833,107.9032,107.8055
2016-11-08,107.7079,109.0846,108.4402
2016-11-09,107.2881,108.6941,108.2645
2016-11-10,108.4695,108.4695,105.2474
2016-11-11,104.5932,106.3019,105.8723
2016-11-14,105.1692,105.2659,103.2164
2016-11-15,104.0561,105.1399,104.5834
2016-11-16,104.1831,107.6298,107.3955
2016-11-17,107.2197,107.747,107.3564
2016-11-18,107.1318,107.9325,107.4638
2016-11-21,107.5224,109.3483,109.0944
2016-11-22,109.3092,109.7681,109.1628
2016-11-23,108.7331,108.8796,108.6062
2016-11-25,108.5086,109.2311,109.153
2016-11-28,108.8015,109.8121,108.9382
2016-11-29,108.1668,109.3873,108.8308
2016-11-30,108.9675,109.5533,107.913
2016-12-01,107.7616,108.323,106.9073
2016-12-02,106.5948,107.4931,107.3076
2016-12-05,107.4052,107.4345,106.5362
2016-12-06,106.917,107.7567,107.3564
2016-12-07,106.6827,108.5671,108.4109
2016-12-08,108.2449,109.7779,109.4752
2016-12-09,109.6607,111.9944,111.262
2016-12-12,110.6176,112.2873,110.6274
2016-12-13,111.1546,113.1856,112.4728
2016-12-14,112.3263,113.459,112.4728
2016-12-15,112.6583,113.9765,113.0879
2016-12-16,113.7226,113.7519,113.2344
2016-12-19,113.0684,114.6111,113.8886
2016-12-20,113.9862,114.7283,114.1913
2016-12-21,114.0448,114.6307,114.2987
2016-12-22,113.6054,113.7617,113.5468
2016-12-23,112.8634,113.7714,113.7714
2016-12-27,113.7714,115.0212,114.494
2016-12-28,114.7478,115.2327,114.0058
2016-12-29,113.7031,114.347,113.9765
2016-12-30,113.8984,114.4354,113.0879
2017-01-03,113.0684,113.5859,113.4101
2017-01-04,113.1172,113.7617,113.2832
2017-01-05,113.1856,114.1075,113.8593
2017-01-06,114.0253,115.3727,115.1286
2017-01-09,115.1677,116.6128,116.1832
2017-01-10,115.9683,116.564,116.3003
2017-01-11,115.9391,117.101,116.9252
2017-01-12,116.0904,116.4858,116.437
2017-01-13,116.3003,116.7983,116.232
2017-01-17,115.5485,117.4037,117.1693
2017-01-18,117.1693,117.6575,117.1596
2017-01-19,116.5835,117.2572,116.9545
2017-01-20,117.6087,117.6087,117.1693
2017-01-23,117.1693,117.9602,117.2474
2017-01-24,116.7299,117.267,117.14
2017-01-25,117.5794,119.2198,119.005
2017-01-26,118.7999,119.5518,119.0636
2017-01-27,119.2589,119.4639,119.0733
2017-01-30,118.0774,118.7609,118.7609
2017-01-31,118.2922,118.5265,118.4875
2017-02-01,124.0335,127.4119,125.7129
2017-02-02,124.9562,126.3378,125.4981
2017-02-03,125.2833,126.1425,126.0351
2017-02-06,126.084,127.4216,127.2166
2017-02-07,127.4607,128.9741,128.4274
2017-02-08,128.2516,129.1011,128.9253
2017-02-09,129.1019,129.8815,129.8569
2017-02-10,129.8962,130.3669,129.5628
2017-02-13,130.5042,131.2299,130.7101
2017-02-14,130.8866,132.4753,132.4066
2017-02-15,132.8969,133.6324,132.8871
2017-02-16,133.044,133.2696,132.7253
2017-02-17,132.4851,133.2009,133.0931
2017-02-21,133.5932,134.1031,134.0541
2017-02-22,133.7893,134.466,134.4562
2017-02-23,134.7209,134.819,133.8874
2017-02-24,133.2794,134.0149,134.0149
2017-02-27,134.4856,134.7749,134.2797
2017-02-28,134.4268,134.7749,134.3385
2017-03-01,135.2211,137.4373,137.0843
2017-03-02,137.2902,137.5634,136.2704
2017-03-03,136.0938,137.1235,137.0745
2017-03-06,136.6675,137.0647,136.643
2017-03-07,136.3684,137.2706,136.8195
2017-03-08,136.2606,137.0941,136.3096
2017-03-09,136.0546,136.1037,135.9958
2017-03-10,136.5548,136.6598,136.4469
2017-03-13,136.1625,136.7313,136.5057
2017-03-14,136.6038,136.947,136.2998
2017-03-15,136.7117,138.0258,137.7413
2017-03-16,137.9963,138.2905,137.9669
2017-03-17,138.2709,138.2709,137.2804
2017-03-20,137.6825,138.7612,138.722
2017-03-21,139.3594,140.036,137.1333
2017-03-22,137.1382,138.8593,138.6827
2017-03-23,138.5258,138.844,138.1924
2017-03-24,138.7612,138.9966,137.9178
2017-03-27,136.692,138.4866,138.1532
2017-03-28,138.1826,141.252,141.0167
2017-03-29,140.899,141.6933,141.3305
2017-03-30,141.3991,141.7031,141.1442
2017-03-31,140.9382,141.4776,140.8794
2017-04-03,140.9284,141.3305,140.9186
2017-04-04,140.4773,142.0856,141.9679
2017-04-05,141.4286,142.6446,141.2324
2017-04-06,141.4972,141.7227,140.8794
2017-04-07,140.948,141.3893,140.5656
2017-04-10,140.8206,141.0943,140.3989
2017-04-11,140.1733,140.5754,138.8887
2017-04-12,138.8593,139.3986,139.0554
2017-04-13,139.1633,139.6242,138.3199
2017-04-17,138.7416,139.1338,139.0848
2017-04-18,138.6729,139.2908,138.467
2017-04-19,139.1338,139.2515,137.9571
2017-04-20,138.4866,140.1537,139.683
2017-04-21,139.683,139.9184,139.5163
2017-04-24,140.7225,141.1638,140.8598
2017-04-25,141.1246,142.0954,141.7326
2017-04-26,141.6737,141.8012,140.899
2017-04-27,141.1368,141.3697,141.0069
2017-04-28,141.3011,141.507,140.8696
2017-05-01,142.2915,144.3509,143.7429
2017-05-02,144.6843,145.2236,144.6549
2017-05-03,142.772,144.6353,144.2136
2017-05-04,143.684,144.292,143.6938
2017-05-05,143.9194,146.0964,146.0768
2017-05-08,146.1455,150.7251,150.0484
2017-05-09,150.8918,151.8822,151.0095
2017-05-10,150.6564,150.9604,150.2936
2017-05-11,150.1164,151.7116,151.5934
2017-05-12,152.3319,154.0256,153.7105
2017-05-15,153.6219,154.2521,153.3166
2017-05-16,153.553,153.6711,153.0902
2017-05-17,151.2488,152.2039,147.9501
2017-05-18,148.9545,150.9928,150.205
2017-05-19,151.0322,151.623,150.7171
2017-05-22,151.6427,152.2138,151.6328
2017-05-23,152.5289,152.5289,151.4457
2017-05-24,151.4851,151.8101,150.9928
2017-05-25,151.3768,151.9873,151.5147
2017-05-26,151.6427,151.879,151.2586
2017-05-30,151.0715,152.0661,151.3177
2017-05-31,151.6131,151.8101,150.4216
2017-06-01,150.8254,150.9829,150.8352
2017-06-02,151.2291,153.0705,153.0705
2017-06-05,151.9775,152.0858,151.5737
2017-06-06,151.5442,153.425,152.0858
2017-06-07,152.647,153.5924,152.9917
2017-06-08,152.8735,153.1591,152.6175
2017-06-09,152.8144,152.8144,146.6995
2017-06-12,143.5091,143.8537,143.194
2017-06-13,144.9074,145.1929,144.3461
2017-06-14,145.2422,145.2422,142.938
2017-06-15,141.1261,142.2682,142.0813
2017-06-16,141.5791,142.2881,140.0922
2017-06-19,141.4609,144.4938,144.0999
2017-06-20,144.6218,144.6218,142.7903
2017-06-21,143.2925,143.8334,143.6371
2017-06-22,143.5386,144.4544,143.4008
2017-06-23,142.9084,144.9074,144.0408
2017-06-26,144.9172,146.0102,143.5879
2017-06-27,142.7903,143.9227,141.5299
2017-06-28,142.2782,143.8734,143.5977
2017-06-29,142.4949,142.9084,141.4806
2017-06-30,142.2388,142.741,141.8154
2017-07-03,142.6623,143.0759,141.3034
2017-07-05,141.4905,142.5736,141.8844
2017-07-06,140.8307,141.3034,140.5452
2017-07-07,140.7126,142.5343,141.973
2017-07-10,141.9041,143.7159,142.8395
2017-07-11,142.5146,143.6174,143.3023
2017-07-12,143.6371,143.9424,143.5091
2017-07-13,143.2728,146.217,145.508
2017-07-14,145.705,147.0441,146.7586
2017-07-17,146.542,148.5901,147.2706
2017-07-18,146.9161,147.8319,147.7827
